ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT,image
0.2989285886287689,0.036988068372011185,0.03423308953642845,0.014000504277646542,0.39219602942466736,0.05199837312102318,0.030347086489200592,0.14130820333957672,img_00005.jpg
0.5860757231712341,0.040781937539577484,0.020331641659140587,0.012652370147407055,0.09447642415761948,0.07674574106931686,0.03027033805847168,0.1386658102273941,img_00007.jpg
0.4586622714996338,0.051800940185785294,0.030027883127331734,0.018548255786299706,0.12825827300548553,0.09591329842805862,0.04258269444108009,0.17420631647109985,img_00009.jpg
0.4691237509250641,0.052773792296648026,0.02745693363249302,0.01746373623609543,0.1296573430299759,0.09473717212677002,0.037875209003686905,0.1709120273590088,img_00018.jpg
0.511263370513916,0.04543676599860191,0.02134080044925213,0.01563424989581108,0.10876104235649109,0.1215890645980835,0.030826875939965248,0.14514781534671783,img_00027.jpg
0.457706481218338,0.05233747884631157,0.029568836092948914,0.01683710515499115,0.12728182971477509,0.0857851579785347,0.04804159700870514,0.18244147300720215,img_00030.jpg
0.3604377210140228,0.051205385476350784,0.02595735527575016,0.013099330477416515,0.09270483255386353,0.06469149887561798,0.13512066006660461,0.2567831575870514,img_00040.jpg
0.5247504115104675,0.046271756291389465,0.022077398374676704,0.013649332337081432,0.11355342715978622,0.08749599009752274,0.031324874609708786,0.16087675094604492,img_00046.jpg
0.4793936312198639,0.04161019250750542,0.02080835960805416,0.02056596614420414,0.09799567610025406,0.17223189771175385,0.030462585389614105,0.1369316130876541,img_00053.jpg
0.5315058827400208,0.047220755368471146,0.02164885587990284,0.013684314675629139,0.11015257984399796,0.08749451488256454,0.03125012293457985,0.1570429652929306,img_00071.jpg
0.5252596735954285,0.04023139923810959,0.020455030724406242,0.01412314921617508,0.09799608588218689,0.13457727432250977,0.030349986627697945,0.13700734078884125,img_00075.jpg
0.3536098003387451,0.05675135925412178,0.04744225740432739,0.014246530830860138,0.10097060352563858,0.08280735462903976,0.05143044516444206,0.2927416265010834,img_00102.jpg
0.29793480038642883,0.03570586070418358,0.02200786955654621,0.012640492059290409,0.41236937046051025,0.05184151604771614,0.03026987425982952,0.13723017275333405,img_00103.jpg
0.574731171131134,0.0415719710290432,0.020637143403291702,0.012670169584453106,0.09845682233572006,0.0682472214102745,0.030404530465602875,0.15328091382980347,img_00109.jpg
0.29775699973106384,0.03579837456345558,0.02540086768567562,0.012945771217346191,0.4095101058483124,0.051835257560014725,0.030294811353087425,0.13645777106285095,img_00119.jpg
